"id","sku","name","short_description","breadcrumb","images","attribute_0_value","attribute_0_name","regular_price","description"
"a67qu","#B-092","Hoa Bó B-092","
","Hoa bó","https://hoatuoi360.com/contents/images/Products/hoa-bo/Hoa-Bo-B-092.jpg","Bình thường","Kích thước",500000,
"a67qu","#B-092","Hoa Bó B-092","
","Hoa bó","https://hoatuoi360.com/contents/images/Products/hoa-bo/Hoa-Bo-B-092.jpg","Lớn hơn (+30%)","Kích thước",650000,
"jow7","#B-091","Hoa Bó B-091","
","Hoa bó","https://hoatuoi360.com/contents/images/Products/hoa-bo/Hoa-Bo-B-091.jpg","Bình thường","Kích thước",2700000,
"jow7","#B-091","Hoa Bó B-091","
","Hoa bó","https://hoatuoi360.com/contents/images/Products/hoa-bo/Hoa-Bo-B-091.jpg","Lớn hơn (+30%)","Kích thước",3510000,
"dxfz","#B-090","Hoa Bó B-090","
","Hoa bó","https://hoatuoi360.com/contents/images/Products/hoa-bo/Hoa-Bo-B-090.jpg","Bình thường","Kích thước",1000000,
"dxfz","#B-090","Hoa Bó B-090","
","Hoa bó","https://hoatuoi360.com/contents/images/Products/hoa-bo/Hoa-Bo-B-090.jpg","Lớn hơn (+30%)","Kích thước",1300000,
"cmwzo","#B-089","Hoa Bó B-089","
","Hoa bó","https://hoatuoi360.com/contents/images/Products/hoa-bo/Hoa-Bo-B-089.jpg","Bình thường","Kích thước",600000,
"cmwzo","#B-089","Hoa Bó B-089","
","Hoa bó","https://hoatuoi360.com/contents/images/Products/hoa-bo/Hoa-Bo-B-089.jpg","Lớn hơn (+30%)","Kích thước",780000,
"gg2zv","#B-088","Hoa Bó B-088","
","Hoa bó","https://hoatuoi360.com/contents/images/Products/hoa-bo/Hoa-Bo-B-088.jpg","Bình thường","Kích thước",1500000,
"gg2zv","#B-088","Hoa Bó B-088","
","Hoa bó","https://hoatuoi360.com/contents/images/Products/hoa-bo/Hoa-Bo-B-088.jpg","Lớn hơn (+30%)","Kích thước",1950000,
"vjqdn","#B-087","Hoa Bó B-087","
","Hoa bó","https://hoatuoi360.com/contents/images/Products/hoa-bo/Hoa-Bo-B-087.jpg","Bình thường","Kích thước",500000,
