"id","sku","name","description","short_description","breadcrumb","images","attribute_0_value","attribute_0_name","regular_price"
"1vvaj","#BK221","Hoa giỏ BK 221",,"
","Hoa giỏ","https://hoatuoi360.com/contents/images/Products/hoa-gio/Hoa-gio-BK.jpg","Bình thường","Kích thước",700000
"1vvaj","#BK221","Hoa giỏ BK 221",,"
","Hoa giỏ","https://hoatuoi360.com/contents/images/Products/hoa-gio/Hoa-gio-BK.jpg","Lớn hơn (+30%)","Kích thước",910000
"cnppx","#BK219","Hoa giỏ BK 219",,"
","Hoa giỏ","https://hoatuoi360.com/contents/images/Products/hoa-gio/Hoa-gio-BK-218.jpg","Bình thường","Kích thước",1000000
"cnppx","#BK219","Hoa giỏ BK 219",,"
","Hoa giỏ","https://hoatuoi360.com/contents/images/Products/hoa-gio/Hoa-gio-BK-218.jpg","Lớn hơn (+30%)","Kích thước",1300000
"n6iwl","#BK218","Hoa giỏ BK 218",,"
","Hoa giỏ","https://hoatuoi360.com/contents/images/Products/hoa-gio/Hoa%20gio.jpg","Bình thường","Kích thước",1500000
"n6iwl","#BK218","Hoa giỏ BK 218",,"
","Hoa giỏ","https://hoatuoi360.com/contents/images/Products/hoa-gio/Hoa%20gio.jpg","Lớn hơn (+30%)","Kích thước",1950000
"epz0a","#BK217","Hoa giỏ BK 217",,"
","Hoa theo chủ đề>Ngày Phụ Nữ Việt Nam 20/10","https://hoatuoi360.com/contents/images/Products/hoa-gio/DSC_0172.jpg","Bình thường","Kích thước",1500000
"epz0a","#BK217","Hoa giỏ BK 217",,"
","Hoa theo chủ đề>Ngày Phụ Nữ Việt Nam 20/10","https://hoatuoi360.com/contents/images/Products/hoa-gio/DSC_0172.jpg","Lớn hơn (+30%)","Kích thước",1950000
"a974b","#BK215","Hoa giỏ BK 215",,"
","Hoa giỏ","https://hoatuoi360.com/contents/images/Products/hoa-gio/DSC_0260(1).jpg","Bình thường","Kích thước",500000
"a974b","#BK215","Hoa giỏ BK 215",,"
","Hoa giỏ","https://hoatuoi360.com/contents/images/Products/hoa-gio/DSC_0260(1).jpg","Lớn hơn (+30%)","Kích thước",650000
"9sfm","#BK214","Hoa giỏ BK 214",,"
","Hoa giỏ","https://hoatuoi360.com/contents/images/Products/hoa-gio/DSC_0219.jpg","Bình thường","Kích thước",1000000
"9sfm","#BK214","Hoa giỏ BK 214",,"
","Hoa giỏ","https://hoatuoi360.com/contents/images/Products/hoa-gio/DSC_0219.jpg","Lớn hơn (+30%)","Kích thước",1300000
"3j7fv","#BK213","Hoa giỏ BK 213",,"
","Hoa giỏ","https://hoatuoi360.com/contents/images/Products/hoa-gio/DSC_0254.jpg","Bình thường","Kích thước",500000
"3j7fv","#BK213","Hoa giỏ BK 213",,"
","Hoa giỏ","https://hoatuoi360.com/contents/images/Products/hoa-gio/DSC_0254.jpg","Lớn hơn (+30%)","Kích thước",650000
